id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
245,20000 - 35000,off-road,playa,Transporte y Logística,Baleares,No,diesel,uso particular ocasional,Automatico,No
246,60000 - 100000,nieve,ciudad,Servicios Financieros,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
247,35000-60000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
248,12000 - 20000,buen clima,ciudad,Energía,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
249,60000 - 100000,buen clima,ciudad,Educación,Andalucía,"Si, grande",electrico,uso particular ocasional,Manual,Si
250,60000 - 100000,buen clima,montaña,Industria Construccion y Manufactura,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
251,12000 - 20000,buen clima,montaña,Otros,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,Si
252,12000 - 20000,buen clima,playa,Tecnología,Aragón,No,hibrido,uso particular ocasional,Manual,No
253,20000 - 35000,buen clima,montaña,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
254,35000-60000,buen clima,montaña,Comercio,Cataluña,"Si, pequeña",diesel,uso particular habitual,Manual,Si
255,60000 - 100000,buen clima,montaña,Servicios Financieros,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Manual,No
256,35000-60000,buen clima,montaña,Tecnología,Aragón,No,diesel,viajes largos,Automatico,Si
257,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Asturias,"Si, grande",diesel,viajes largos,Manual,No
258,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,No,diesel,uso particular ocasional,Manual,Si
259,20000 - 35000,buen clima,playa,Entretenimiento y Medios,Castilla y León,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
260,12000 - 20000,buen clima,ciudad,Salud,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
261,12000 - 20000,buen clima,montaña,Salud,Baleares,"Si, grande",hibrido,uso particular ocasional,Manual,No
262,20000 - 35000,off-road,ciudad,Salud,Asturias,"Si, pequeña",gasolina,viajes largos,Manual,Si
263,12000 - 20000,nieve,ciudad,Comercio,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Manual,No
264,20000 - 35000,nieve,montaña,Comercio,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
265,12000 - 20000,buen clima,montaña,Servicios Financieros,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
266,35000-60000,buen clima,montaña,Energía,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,Si
267,12000 - 20000,buen clima,ciudad,Entretenimiento y Medios,Extremadura,"Si, grande",gasolina,uso particular habitual,Manual,No
268,12000 - 20000,buen clima,montaña,Transporte y Logística,Baleares,"Si, grande",gasolina,uso particular habitual,Automatico,Si
269,12000 - 20000,buen clima,ciudad,Tecnología,Andalucía,"Si, grande",gasolina,uso particular habitual,Manual,Si
270,12000 - 20000,buen clima,playa,Educación,Madrid,"Si, pequeña",diesel,uso particular habitual,Manual,Si
271,+ 100000,nieve,montaña,Salud,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,Si
272,20000 - 35000,buen clima,ciudad,Industria Construccion y Manufactura,Asturias,No,diesel,uso particular habitual,Manual,No
273,20000 - 35000,buen clima,playa,Servicios Financieros,Castilla-La Mancha,No,diesel,viajes largos,Automatico,Si
274,60000 - 100000,buen clima,playa,Industria Construccion y Manufactura,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,No
275,+ 100000,off-road,ciudad,Servicios Financieros,Cantabria,"Si, pequeña",diesel,viajes largos,Manual,Si
276,- 12000,buen clima,playa,Educación,Andalucía,No,diesel,uso particular habitual,Manual,Si
277,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
278,12000 - 20000,buen clima,montaña,Otros,Cantabria,"Si, grande",gasolina,viajes largos,Manual,No
279,12000 - 20000,buen clima,montaña,Otros,País Vasco,"Si, pequeña",hibrido,uso particular habitual,Automatico,No
280,20000 - 35000,buen clima,montaña,Energía,Baleares,"Si, grande",gasolina,uso particular ocasional,Automatico,No
281,12000 - 20000,nieve,playa,Salud,Murcia,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
282,- 12000,buen clima,montaña,Otros,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
283,20000 - 35000,buen clima,montaña,Energía,Baleares,"Si, pequeña",electrico,uso particular ocasional,Automatico,Si
284,12000 - 20000,buen clima,montaña,Otros,La Rioja,"Si, grande",diesel,uso particular habitual,Manual,Si
285,35000-60000,nieve,ciudad,Energía,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,No
286,+ 100000,nieve,montaña,Comercio,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
287,20000 - 35000,off-road,ciudad,Salud,Andalucía,No,diesel,uso particular habitual,Manual,Si
288,35000-60000,buen clima,montaña,Energía,Extremadura,"Si, grande",diesel,uso particular ocasional,Manual,Si
289,- 12000,buen clima,playa,Comercio,País Vasco,"Si, grande",diesel,viajes largos,Automatico,Si
290,- 12000,buen clima,montaña,Servicios Financieros,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
291,20000 - 35000,buen clima,montaña,Energía,Cantabria,"Si, pequeña",electrico,uso particular ocasional,Manual,No
292,12000 - 20000,nieve,montaña,Energía,Murcia,No,diesel,uso particular habitual,Automatico,No
293,35000-60000,buen clima,playa,Comercio,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
294,20000 - 35000,nieve,playa,Energía,Castilla-La Mancha,No,diesel,uso particular ocasional,Manual,Si
295,35000-60000,off-road,montaña,Energía,Asturias,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
296,60000 - 100000,buen clima,montaña,Salud,Cantabria,"Si, grande",diesel,uso particular ocasional,Automatico,Si
297,+ 100000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
298,60000 - 100000,buen clima,playa,Energía,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
299,20000 - 35000,buen clima,montaña,Salud,Asturias,"Si, grande",diesel,viajes largos,Automatico,Si
300,20000 - 35000,buen clima,montaña,Salud,Andalucía,No,diesel,uso particular habitual,Manual,Si
301,20000 - 35000,off-road,montaña,Tecnología,Cantabria,No,diesel,uso particular ocasional,Manual,Si
302,35000-60000,buen clima,montaña,Servicios Financieros,Andalucía,No,diesel,uso particular ocasional,Manual,Si
303,35000-60000,nieve,ciudad,Tecnología,Andalucía,"Si, grande",electrico,uso particular ocasional,Manual,Si
304,20000 - 35000,buen clima,montaña,Salud,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,No
305,20000 - 35000,buen clima,montaña,Tecnología,Baleares,"Si, pequeña",hibrido,uso particular habitual,Automatico,No
306,+ 100000,buen clima,ciudad,Salud,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,Si
307,12000 - 20000,buen clima,ciudad,Turismo y Ocio,País Vasco,No,diesel,uso particular habitual,Manual,No
308,35000-60000,off-road,playa,Otros,Aragón,No,electrico,uso particular habitual,Manual,Si
309,20000 - 35000,buen clima,ciudad,Servicios Financieros,Aragón,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
310,12000 - 20000,buen clima,montaña,Tecnología,Andalucía,No,diesel,uso particular ocasional,Manual,Si
311,12000 - 20000,buen clima,playa,Servicios Financieros,Andalucía,"Si, pequeña",hibrido,uso particular habitual,Automatico,Si
312,60000 - 100000,nieve,montaña,Entretenimiento y Medios,Cantabria,No,diesel,uso particular ocasional,Automatico,No
313,12000 - 20000,buen clima,montaña,Educación,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
314,- 12000,nieve,ciudad,Tecnología,Canarias,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
315,20000 - 35000,nieve,montaña,Industria Construccion y Manufactura,Aragón,No,gasolina,uso particular habitual,Manual,Si
316,- 12000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
317,20000 - 35000,nieve,playa,Otros,Asturias,"Si, grande",diesel,uso particular habitual,Automatico,Si
318,20000 - 35000,buen clima,ciudad,Industria Construccion y Manufactura,Andalucía,No,diesel,uso particular habitual,Manual,No
319,+ 100000,buen clima,playa,Comercio,Andalucía,"Si, pequeña",diesel,viajes largos,Automatico,No
320,12000 - 20000,buen clima,montaña,Industria Construccion y Manufactura,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,No
321,20000 - 35000,buen clima,ciudad,Salud,Aragón,"Si, grande",diesel,uso particular ocasional,Automatico,Si
322,12000 - 20000,nieve,montaña,Energía,Aragón,No,hibrido,uso particular ocasional,Automatico,No
323,- 12000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,No
324,12000 - 20000,buen clima,ciudad,Tecnología,Aragón,"Si, pequeña",diesel,viajes largos,Manual,Si
325,+ 100000,buen clima,montaña,Turismo y Ocio,Aragón,"Si, grande",diesel,uso particular habitual,Manual,No
326,12000 - 20000,buen clima,montaña,Otros,Andalucía,"Si, grande",hibrido,uso particular habitual,Manual,Si
327,20000 - 35000,buen clima,ciudad,Salud,Cantabria,No,gasolina,uso particular ocasional,Automatico,No
328,20000 - 35000,nieve,ciudad,Salud,Extremadura,"Si, grande",gasolina,uso particular ocasional,Manual,No
329,60000 - 100000,buen clima,ciudad,Comercio,Asturias,"Si, pequeña",gasolina,viajes largos,Manual,No
330,60000 - 100000,off-road,montaña,Transporte y Logística,Castilla y León,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
331,- 12000,nieve,montaña,Energía,Baleares,"Si, grande",gasolina,uso particular habitual,Manual,Si
332,20000 - 35000,buen clima,ciudad,Comercio,Aragón,"Si, pequeña",diesel,viajes largos,Manual,Si
333,20000 - 35000,off-road,ciudad,Educación,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,No
334,20000 - 35000,buen clima,montaña,Comercio,Baleares,"Si, pequeña",electrico,uso particular habitual,Manual,No
335,- 12000,buen clima,montaña,Tecnología,Canarias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
336,12000 - 20000,buen clima,montaña,Entretenimiento y Medios,Aragón,"Si, pequeña",electrico,uso particular habitual,Manual,No
337,35000-60000,buen clima,montaña,Salud,Castilla-La Mancha,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
338,20000 - 35000,buen clima,montaña,Tecnología,Aragón,No,diesel,uso particular ocasional,Automatico,Si
339,35000-60000,nieve,montaña,Transporte y Logística,La Rioja,No,hibrido,uso particular ocasional,Automatico,No
340,20000 - 35000,buen clima,montaña,Turismo y Ocio,Asturias,No,gasolina,viajes largos,Manual,No
341,+ 100000,buen clima,ciudad,Transporte y Logística,Madrid,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
342,20000 - 35000,buen clima,montaña,Tecnología,Murcia,"Si, grande",diesel,uso particular ocasional,Manual,No
343,20000 - 35000,buen clima,ciudad,Entretenimiento y Medios,Galicia,No,gasolina,uso particular ocasional,Manual,No
344,35000-60000,buen clima,montaña,Turismo y Ocio,Aragón,"Si, grande",gasolina,uso particular habitual,Automatico,No
345,60000 - 100000,off-road,ciudad,Comercio,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
346,35000-60000,buen clima,ciudad,Salud,Andalucía,No,gasolina,uso particular habitual,Manual,Si
347,12000 - 20000,buen clima,playa,Educación,Castilla-La Mancha,No,electrico,viajes largos,Manual,No
348,35000-60000,nieve,playa,Tecnología,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
349,20000 - 35000,buen clima,ciudad,Servicios Financieros,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Manual,No
350,12000 - 20000,nieve,playa,Educación,Cantabria,"Si, grande",diesel,uso particular ocasional,Manual,Si
351,20000 - 35000,buen clima,montaña,Tecnología,Extremadura,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
352,35000-60000,off-road,playa,Servicios Financieros,Cataluña,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
353,12000 - 20000,buen clima,montaña,Transporte y Logística,Baleares,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
354,20000 - 35000,buen clima,ciudad,Industria Construccion y Manufactura,La Rioja,"Si, pequeña",gasolina,viajes largos,Manual,No
355,20000 - 35000,buen clima,montaña,Transporte y Logística,Aragón,No,diesel,uso particular habitual,Manual,No
356,35000-60000,nieve,ciudad,Otros,País Vasco,"Si, grande",diesel,uso particular ocasional,Automatico,Si
357,35000-60000,off-road,montaña,Tecnología,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,Si
358,35000-60000,nieve,playa,Educación,Andalucía,"Si, grande",hibrido,uso particular habitual,Manual,Si
359,12000 - 20000,nieve,montaña,Industria Construccion y Manufactura,Canarias,"Si, grande",diesel,uso particular habitual,Manual,Si
360,12000 - 20000,buen clima,playa,Salud,Cataluña,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
361,60000 - 100000,buen clima,ciudad,Salud,Asturias,"Si, grande",diesel,uso particular ocasional,Automatico,No
362,35000-60000,nieve,montaña,Servicios Financieros,Aragón,No,diesel,uso particular habitual,Manual,No
363,12000 - 20000,nieve,montaña,Transporte y Logística,Murcia,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
364,12000 - 20000,buen clima,ciudad,Entretenimiento y Medios,Castilla y León,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
365,35000-60000,nieve,ciudad,Comercio,Andalucía,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
366,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Baleares,No,diesel,uso particular ocasional,Automatico,Si
367,60000 - 100000,nieve,montaña,Comercio,Extremadura,"Si, grande",gasolina,uso particular ocasional,Manual,No
368,12000 - 20000,nieve,ciudad,Salud,Baleares,No,diesel,uso particular ocasional,Automatico,No
369,12000 - 20000,buen clima,ciudad,Salud,Andalucía,No,diesel,viajes largos,Automatico,Si
370,60000 - 100000,nieve,montaña,Tecnología,Andalucía,No,diesel,uso particular ocasional,Manual,Si
371,12000 - 20000,off-road,montaña,Servicios Financieros,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
372,20000 - 35000,nieve,playa,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
373,20000 - 35000,buen clima,playa,Tecnología,Madrid,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
374,35000-60000,nieve,ciudad,Salud,Asturias,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
375,60000 - 100000,buen clima,ciudad,Comercio,Baleares,"Si, grande",diesel,uso particular habitual,Manual,No
376,+ 100000,buen clima,montaña,Tecnología,Castilla y León,"Si, pequeña",diesel,uso particular habitual,Manual,No
377,12000 - 20000,buen clima,playa,Salud,Cantabria,"Si, grande",diesel,viajes largos,Manual,No
378,12000 - 20000,nieve,montaña,Comercio,Cataluña,"Si, grande",hibrido,uso particular ocasional,Automatico,No
379,- 12000,buen clima,ciudad,Tecnología,Castilla-La Mancha,No,electrico,uso particular ocasional,Manual,No
380,35000-60000,buen clima,ciudad,Comercio,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No
381,60000 - 100000,buen clima,ciudad,Energía,Cantabria,"Si, grande",diesel,uso particular ocasional,Manual,No
382,20000 - 35000,buen clima,montaña,Entretenimiento y Medios,Galicia,"Si, grande",gasolina,uso particular habitual,Manual,Si
383,- 12000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
384,20000 - 35000,buen clima,ciudad,Salud,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,Si
385,- 12000,buen clima,montaña,Salud,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
386,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
387,60000 - 100000,buen clima,montaña,Tecnología,Andalucía,No,diesel,uso particular ocasional,Manual,Si
388,60000 - 100000,nieve,playa,Servicios Financieros,Cataluña,"Si, grande",gasolina,uso particular habitual,Automatico,Si
389,- 12000,buen clima,ciudad,Industria Construccion y Manufactura,Canarias,"Si, grande",diesel,uso particular ocasional,Manual,No
390,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,No,diesel,uso particular habitual,Manual,Si
391,60000 - 100000,buen clima,playa,Comercio,Aragón,"Si, pequeña",diesel,uso particular habitual,Manual,No
392,12000 - 20000,buen clima,montaña,Industria Construccion y Manufactura,Baleares,"Si, pequeña",hibrido,uso particular habitual,Manual,Si
393,35000-60000,buen clima,montaña,Servicios Financieros,Asturias,No,hibrido,uso particular ocasional,Automatico,No
394,20000 - 35000,buen clima,ciudad,Educación,Castilla-La Mancha,"Si, pequeña",diesel,uso particular habitual,Manual,No
395,12000 - 20000,nieve,playa,Salud,Aragón,"Si, pequeña",hibrido,viajes largos,Automatico,Si
396,60000 - 100000,buen clima,montaña,Tecnología,Aragón,"Si, pequeña",hibrido,uso particular ocasional,Automatico,Si
397,35000-60000,buen clima,ciudad,Otros,Asturias,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
398,12000 - 20000,buen clima,playa,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,No
